S_NUMBER,BP_NUMBER,MODEL,E_TYPE,NAME,STATUS,DOMAIN,PROVIDER,IP,MAC_ADDRESS,MONITOR_TYPE,DETAIL1,DETAIL2,DETAIL3
42NQZC3,BP00055NULL,3080,DESKTOPS,WKS064-287AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8AT-02,CF 2
42QVZC3,BP00033NULL,3080,DESKTOPS,WKS064-292AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,TR20 FLEXI 2,CF 2
42RSZC3,BP00051NULL,3080,DESKTOPS,WKS064-295AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8C-11,CF 2
42RTZC3,BP00057NULL,3080,DESKTOPS,WKS064-294AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8AT-04,CF 2
42RWZC3,BP00043NULL,3080,DESKTOPS,WKS064-323AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-16,CF 1
42SVZC3,BP00019NULL,3080,DESKTOPS,WKS064-273AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-32,CF 1
42SXZC3,BP00023NULL,D15S,DESKTOPS,WKS064-281AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,AF480-2,
42TRZC3,BP00024NULL,D15S,DESKTOPS,WKS064-290AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,TR20 FLEXI 6,CF 2
42TSZC3,BP00015NULL,D15S,DESKTOPS,WKS064-269AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,FS650-1,CF 2
42TTZC3,BP00045NULL,3080,DESKTOPS,WKS064-284AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8C-02,
42TWZC3,BP00027NULL,3080,DESKTOPS,WKS064-291AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,FS480-1,
42VPZC3,BP00018NULL,3080,DESKTOPS,WKS064-272AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,TR20 FLEXI 5,CF 2
42VRZC3,9E+11,3080,DESKTOPS,WKS064-279AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,APEXS 12,
